SegmentInL1	SegmentInL2
Polynice m'a vue, il était tout pâle, les yeux brillants et si beau dans son vêtement du soir ! Il m'a dit : « Tiens, tu es là, toi ? » Et il m'a donné une grande fleur de papier qu'il avait rapportée de sa nuit.	"Polynices saw me, he was so pale, but his eyes were flashing and he was so handsome in his tux! He said, ""Hey, is that you there?"" And he gave me a big paper flower that he'd brought back from the night."
CREON	CREON
Et tu l'as conservée, n'est-ce pas, cette fleur ? Et hier, avant de t'en aller, tu as ouvert ton tiroir et tu l'as regardée, longtemps, pour te donner du courage ?	And you kept that flower, didn't you? And yesterday, before you went out, you opened your drawer and you looked at it for a long time, to give yourself courage?
ANTIGONE,	ANTIGONE,
tressaille.	starts.
Qui vous a dit cela ?	Who told you that?
CREON	CREON
Pauvre Antigone, avec ta fleur de cotillon ! Sais-tu qui était ton frère ?	Poor Antigone, with her nightclub flower! Do you know what your brother was like?
ANTIGONE	ANTIGONE
Je savais que vous me diriez du mal de lui en tout cas !	I know you're going to say something bad about him!
CREON	CREON
Un petit fêtard imbécile, un petit carnassier dur et sans âme, une petite brute tout juste bonne à aller plus vite que les autres avec ses voitures, à dépenser plus d'argent dans les bars.	A stupid little frat boy, a heartless, brutal little womaniser, a little animal whose only talents were driving his sportster a bit faster than the others and blowing a bit more money in the strip-joints.
Une fois, j'étais là, ton père venait de lui refuser une grosse somme qu'il avait perdue au jeu; il est devenu tout pâle et il a levé le poing en criant un mot ignoble !	Once, I was there, your father refused to give him a large sum he'd lost at roulette. He went white and raised his fist and called your father a bad word.
ANTIGONE	ANTIGONE
Ce n'est pas vrai !	It's not true!
CREON	CREON
Son poing de brute à toute volée dans le visage de ton père !	And then he smashed his animal fist as hard as he could into your father's face.
C'était pitoyable. Ton père était assis à sa table, la tête dans ses mains. Il saignait du nez. Il pleurait.	It was horrible. Your father was sitting at his desk holding his head, bleeding from the nose and crying.
Et, dans un coin du bureau, Polynice, ricanant, qui allumait une cigarette.	And in a corner of the office, Polynices, smirking, lit up a cigarette.
ANTIGONE,	ANTIGONE,
supplie presque maintenant.	now almost begging.
Ce n'est pas vrai !	It's not true!
CREON	CREON
Rappelle-toi, tu avais douze ans. Vous ne l'avez pas revu pendant longtemps. C'est vrai, cela ?	Remember, you were twelve. You didn't see him for a long time after that. That's right, no?
ANTIGONE,	ANTIGONE,
sourdement.	dully
Oui, c'est vrai.	Yes, that's right.
CREON	CREON
C'était après cette dispute. Ton père n'a pas voulu le faire juger. Il s'est engagé dans l'armée argienne.	It was after that incident. Your father didn't want to judge him. He joined the Argive army.
Et, dès qu'il a été chez les Argiens, la chasse à l'homme a commencé contre ton père, contre ce vieil homme qui ne se décidait pas à mourir, à lâcher son royaume. Les attentats se succédaient et les tueurs que nous prenions finissaient toujours par avouer qu'ils avaient reçu de l'argent de lui. Pas seulement de lui, d'ailleurs.	And as soon as he was with the Argives, the assassination attempts started against your father, against an old man who hadn't decided to die and hand over his kingdom. One attempt after another, and when we caught one of the hitmen they always ended up saying they'd been paid by him. Though not just by him, I might add.
Car c'est cela que je veux que tu saches, les coulisses de ce drame où tu brûles de jouer un rôle, la cuisine.	That's what I wanted you to know., what's happening backstage in this drama where you so want to play a role, what goes on in the kitchen.
J'ai fait faire hier des funérailles grandioses à Etéocle. Etéocle est un héros et un saint pour Thèbes maintenant.	Yesterday, I organised a magnificent funeral for Eteocles. Eteocles is now a hero and a saint for Thebes.
Tout le peuple était là. Les enfants des écoles ont donné tous les sous de leur tirelire pour la couronne ; des vieillards, faussement émus, ont magnifié, avec des trémolos dans la voix, le bon frère, le fils d'Œdipe, le prince royal. Moi aussi, j'ai fait un discours.	Everyone was there. The schoolkids had raided their piggy-banks to buy wreaths. Old men, pretending they were moved, were telling exaggerated stories in trembling voices about the good brother, the son of Oedipus, the prince royal. I gave a speech too.
Et tous les prêtres de Thèbes au grand complet, avec la tête de circonstance. Et les honneurs militaires... Il fallait bien. Tu penses que je ne pouvais tout de même pas m'offrir le luxe d'une crapule dans les deux camps.	And every single priest in Thebes, wearing their most suitable expressions. Full military honours. Well, I had to. You understand that I couldn't afford the luxury of saying they were both bastards.
Mais je vais te dire quelque chose, à toi, quelque chose que je sais seul, quelque chose d'effroyable : Etéocle, ce prix de vertu, ne valait pas plus cher que Polynice. Le bon fils avait essayé, lui aussi, de faire assassiner son père, le prince loyal avait décidé, lui aussi, de vendre Thèbes au plus offrant.	But I'll tell you something else, something really horrible that only I know: Eteocles, that prince of virtue, wasn't a bit better than Polynices. The good son had also tried to have his dad assassinated, the loyal prince had also decided to sell Thebes to the highest bidder.
Oui, crois-tu que c'est drôle ? Cette trahison pour laquelle le corps de Polynice est en train de pourrir au soleil, j'ai la preuve maintenant qu'Etéocle, qui dort dans son tombeau de marbre, se préparait, lui aussi, à la commettre. C'est un hasard si Polynice a réussi son coup avant lui.	Don't you think that's kind of funny? Polynices is now rotting in the sunshine because he was guilty of treason, but I have proof that Eteocles, the guy asleep in his marble tomb, was going to do just the same thing. It was just a throw of the dice that Polynices got in first.
Nous avions affaire à deux larrons en foire qui se trompaient l'un l'autre en nous trompant et qui se sont égorgés comme deux petits voyous qu'ils étaient, pour un règlement de comptes...	This is a story of two conmen who conned each other while they were conning us and cut each other's throats like a couple of petty criminals settling scores...
Seulement, il s'est trouvé que j'ai eu besoin de faire un héros de l'un d'eux. Alors, j'ai fait rechercher leurs cadavres au milieu des autres.	It's just that I needed to make one of them into a hero. So I gave orders to find their bodies in the middle of all the others.
On les a retrouvés embrassés pour la première fois de leur vie sans doute. Ils s'étaient embrochés mutuellement, et puis la charge de la cavalerie argienne leur avait passé dessus. Ils étaient en bouillie, Antigone, méconnaissables.	They found them in each other's arms, I guess for the first time in their lives. They'd stabbed each other at the same time, and then the whole Argive cavalry had ridden over them. They'd been mashed into pulp, unrecognisable.
J'ai fait ramasser un des corps, le moins abîmé des deux, pour mes funérailles nationales, et j'ai donné l'ordre de laisser pourrir l'autre où il était. Je ne sais même pas lequel. Et je t'assure que cela m'est bien égal.	I had one of the bodies, the less damaged one, collected for my hero's funeral, and I told them to leave the other one where it was. I don't even know which was which. And I promise you, I really don't care.
Il y a un long silence, ils ne bougent pas, sans se regarder, puis Antigone dit doucement :	There is a long silence, they don't move, they don't look at each other, then Antigone says softly:
ANTIGONE	ANTIGONE
Pourquoi m'avez-vous raconté cela ?	Why have you told me all this?
Créon se lève, remet sa veste.	Creon gets up and puts on his jacket again.
CREON	CREON
Valait-il mieux te laisser mourir dans cette pauvre histoire ?	Would it have been better to let you die for this miserable business?
ANTIGONE	ANTIGONE
Peut-être. Moi, je croyais.	Maybe. I thought so.
Il y a un silence encore.	There is another silence.
Créon s'approche d'elle.	Creon approaches her.
CREON	CREON
Qu'est-ce que tu vas faire maintenant ?	What are you going to do now?
ANTIGONE,	ANTIGONE,
se lève comme une somnambule.	rises like a sleepwalker.
Je vais remonter dans ma chambre.	I'm going back to my room.
CREON	CREON
Ne reste pas trop seule. Va voir Hémon, ce matin. Marie-toi vite.	Don't stay alone too long. Go see Haemon, this morning. Get married soon.
ANTIGONE,	ANTIGONE,
dans un souffle.	In a whisper.
Oui.	Yes.
CREON	CREON
Tu as toute ta vie devant toi. Notre discussion était bien oiseuse, je t'assure. Tu as ce trésor, toi, encore.	You have all your life in front of you. Don't think too much about our discussion. You still have that treasure, it's yours.
ANTIGONE	ANTIGONE
Oui.	Yes.
CREON	CREON
Rien d'autre ne compte. Et tu allais le gaspiller!	Nothing else matters. And you were going to throw it away!
Je te comprends, j'aurais fait comme toi à vingt ans. C'est pour cela que je buvais tes paroles. J'écoutais du fond du temps un petit Créon maigre et pâle comme toi et qui ne pensait qu'à tout donner lui aussi...	I understand you., I would have done the same when I was twenty. That's why I kept listening to your words. I saw at the other end of time a little Creon, thin and pale like you are, who also kept thinking of sacrificing himself...
Marie-toi vite, Antigone, sois heureuse. La vie n'est pas ce que tu crois. C'est une eau que les jeunes gens laissent couler sans le savoir, entre leurs doigts ouverts. Ferme tes mains, ferme tes mains, vite. Retiens-la.	Get married soon, Antigone, be happy. Life isn't what you think. It's like water which young people let run through their fingers, without thinking. Quick, close your hands, close your hands. Keep it there.
Tu verras, cela deviendra une petite chose dure et simple qu'on grignote, assis au soleil. Ils te diront tout le contraire parce qu'ils ont besoin de ta force et de ton élan. Ne les écoute pas. Ne m'écoute pas quand je ferai mon prochain discours devant le tombeau d'Etéocle. Ce ne sera pas vrai. Rien n'est vrai que ce qu'on ne dit pas...	You'll see, it will become a simple, hard little thing that you can nibble on as you sit in the sun. They'll tell you the opposite because they need your strength and swiftness. Don't listen to them. Don't listen to me either when I give my next speech in front of Eteocles' tomb. It won't be true. Nothing is true except the things you don't say...
